epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,921.095,0.61579,0.38588,0.83971,0.96651,0.97033,0.98921,0.90178,0.45868,0.28746,0.79846,0.00521971,0.00521971,0.00521971
171,926.438,0.60279,0.38138,0.83946,0.97441,0.95516,0.9869,0.89408,0.46946,0.2942,0.80102,0.00519143,0.00519143,0.00519143
172,931.641,0.59611,0.37571,0.83745,0.95016,0.95035,0.98267,0.89229,0.46053,0.30046,0.79922,0.00516314,0.00516314,0.00516314
173,936.994,0.60529,0.38422,0.83968,0.97639,0.97207,0.99173,0.90404,0.46007,0.28215,0.79815,0.00513486,0.00513486,0.00513486
174,942.284,0.60251,0.38562,0.83883,0.97491,0.96651,0.99088,0.90143,0.45479,0.28126,0.799,0.00510657,0.00510657,0.00510657
175,947.428,0.61158,0.38196,0.83738,0.97382,0.95861,0.98534,0.89208,0.4605,0.28683,0.79931,0.00507829,0.00507829,0.00507829
176,952.632,0.59097,0.37366,0.83696,0.97037,0.97225,0.98996,0.90326,0.45393,0.28657,0.79772,0.00505,0.00505,0.00505
177,958.232,0.60906,0.38597,0.83583,0.97318,0.95506,0.98945,0.9004,0.45947,0.2873,0.79951,0.00502171,0.00502171,0.00502171
178,963.551,0.59639,0.37306,0.83801,0.97026,0.96245,0.98852,0.90169,0.45237,0.28465,0.79937,0.00499343,0.00499343,0.00499343
179,968.899,0.5948,0.37448,0.83346,0.96941,0.97013,0.98977,0.89658,0.46486,0.29176,0.79863,0.00496514,0.00496514,0.00496514
180,974.28,0.60259,0.37723,0.83796,0.97427,0.95529,0.99022,0.89981,0.45589,0.29203,0.79764,0.00493686,0.00493686,0.00493686
